agent,area_sqm,bathrooms,bedrooms,description,listing_id,location,on_show,price,property_type,special_tag,url,crime_index,gautrain_km
,132.0,,3.0,3 Bedroom Townhouse in Wilgeheuwel,,Wilgeheuwel,,1350000.0,,,,3.0,13.84
,65.0,,2.0,2 Bedroom Apartment in Honeydew,,Honeydew,,659999.0,,,,4.0,11.41
,154.0,,,Commercial Property in Ruimsig,,Ruimsig,,1700000.0,,,,2.0,17.29
,95.0,,2.0,2 Bedroom Townhouse in Florida Glen,,Florida Glen,,920000.0,,,,3.0,13.84
,205.0,5.0,3.0,,,Amorosa,,2895000.0,3 Bedroom Townhouse,,,3.0,13.84
,100.0,,3.0,,,Little Falls,,2400000.0,3 Bedroom House,,,4.0,12.77
,198.0,,3.0,,,Ruimsig,,1800000.0,3 Bedroom Townhouse,,,2.0,17.29
,60.0,,2.0,,,Witpoortjie,,540000.0,2 Bedroom Apartment,,,3.0,13.84
,718.0,3.0,3.0,,,Florida Lake,,920000.0,3 Bedroom House,,,3.0,13.84
,724.0,,4.0,,,Florida Hills,,2400000.0,4 Bedroom House,,,3.0,13.84
,402.0,,4.0,,,Helderkruin,,3750000.0,4 Bedroom House,,,3.0,14.75
,486.0,,3.0,,,Radiokop,,1900000.0,3 Bedroom House,,,3.0,12.01
,461.0,3.0,4.0,,,Poortview,,1899000.0,4 Bedroom Townhouse,,,3.0,13.84
,137.0,,3.0,,,Honeydew,,920000.0,3 Bedroom Apartment,,,4.0,11.41
,730.0,,3.0,,,Fleurhof,,700000.0,3 Bedroom Townhouse,,,8.0,13.36
,85.0,,3.0,,,Wilro Park,,1620000.0,3 Bedroom House,,,3.0,13.84
,133.0,,3.0,,,Ruimsig Country Estate,,1910000.0,3 Bedroom Apartment,,,3.0,13.84
,733.0,,2.0,,,Radiokop,,864900.0,2 Bedroom Townhouse,,,3.0,12.01
,87.0,,2.0,,,Weltevreden Park,,975000.0,2 Bedroom Townhouse,,,3.0,9.07
,72.0,,2.0,,,Radiokop,,635000.0,2 Bedroom Apartment,,,3.0,12.01
,79.0,,3.0,,,Radiokop,,765000.0,3 Bedroom Apartment,,,3.0,12.01
,61.0,,2.0,,,Radiokop,,675000.0,2 Bedroom Apartment,,,3.0,12.01
,79.0,,2.0,,,Honeydew Ridge,,845000.0,2 Bedroom Townhouse,,,3.0,13.84
,814.0,2.0,4.0,,,Helderkruin,,2400000.0,4 Bedroom House,,,3.0,14.75
,793.0,,3.0,,,Witpoortjie,,1500000.0,3 Bedroom House,,,3.0,13.84
,400.0,,3.0,,,Roodekrans,,3200000.0,3 Bedroom House,,,3.0,13.84
,535.0,,5.0,,,Radiokop,,2395000.0,5 Bedroom House,,,3.0,12.01
,277.0,,3.0,,,Honeydew,,1600125.0,3 Bedroom House,,,4.0,11.41
,932.0,,2.0,,,Weltevreden Park,,599000.0,2 Bedroom Townhouse,,,3.0,9.07
,56.0,,2.0,,,Florida,,549999.0,2 Bedroom Apartment,,,6.0,14.56
,503.0,,3.0,,,Honeydew Ridge,,2495000.0,3 Bedroom House,,,3.0,13.84
,60.0,,2.0,,,Radiokop,,625000.0,2 Bedroom Apartment,,,3.0,12.01
,359.0,,2.0,,,Roodepoort West,,600000.0,2 Bedroom Townhouse,,,3.0,13.84
,400.0,,,,,Robertville,,9600000.0,Industrial Property,,,3.0,13.84
,75.0,,5.0,,,Weltevreden Park,,1950000.0,5 Bedroom House,,,3.0,9.07
,184.0,,,,,Laser Park,,1468320.0,Commercial Property,,,3.0,15.05
,205.0,,,,,Laser Park,,1635900.0,Commercial Property,,,3.0,15.05
,172.0,,,,,Laser Park,,1372560.0,Commercial Property,,,3.0,15.05
,41.0,,2.0,2 Bedroom Apartment in Fleurhof,,Fleurhof,,674900.0,,,,8.0,13.36
,34.0,,4.0,,,Wilro Park,,1600000.0,4 Bedroom House,,,3.0,13.84
,184.0,,,,,Ruimsig,,2100000.0,Commercial Property,,,2.0,17.29
