agent,area_sqm,bathrooms,bedrooms,description,listing_id,location,on_show,price,property_type,special_tag,url
Not specified,132,Not specified,3,3 Bedroom Townhouse in Wilgeheuwel,Not specified,Wilgeheuwel,,R 1 350 000,Not specified,,Not specified
Not specified,132,Not specified,3,3 Bedroom Townhouse in Wilgeheuwel,Not specified,Wilgeheuwel,,R 1 350 000,Not specified,,Not specified
Not specified,65,Not specified,2,2 Bedroom Apartment in Honeydew,Not specified,Honeydew,,R 659 999,Not specified,,Not specified
Not specified,65,Not specified,2,2 Bedroom Apartment in Honeydew,Not specified,Honeydew,,R 659 999,Not specified,,Not specified
Not specified,154,Not specified,Not specified,Commercial Property in Ruimsig,Not specified,Ruimsig,,R 1 700 000,Not specified,,Not specified
Not specified,154,Not specified,Not specified,Commercial Property in Ruimsig,Not specified,Ruimsig,,R 1 700 000,Not specified,,Not specified
Not specified,95,Not specified,2,2 Bedroom Townhouse in Florida Glen,Not specified,Florida Glen,,R 920 000,Not specified,,Not specified
Not specified,95,Not specified,2,2 Bedroom Townhouse in Florida Glen,Not specified,Florida Glen,,R 920 000,Not specified,,Not specified
Not specified,205,5,3,Not specified,Not specified,Amorosa,,R 2 895 000,3 Bedroom Townhouse,,Not specified
Not specified,205,5,3,Not specified,Not specified,Amorosa,,R 2 895 000,3 Bedroom Townhouse,,Not specified
Not specified,100,Not specified,3,Not specified,Not specified,Little Falls,,R 2 400 000,3 Bedroom House,,Not specified
Not specified,100,Not specified,3,Not specified,Not specified,Little Falls,,R 2 400 000,3 Bedroom House,,Not specified
Not specified,198,Not specified,3,Not specified,Not specified,Ruimsig,,R 1 800 000,3 Bedroom Townhouse,,Not specified
Not specified,198,Not specified,3,Not specified,Not specified,Ruimsig,,R 1 800 000,3 Bedroom Townhouse,,Not specified
Not specified,005,Not specified,3,Not specified,Not specified,Horison,,R 1 800 000,3 Bedroom House,,Not specified
Not specified,005,Not specified,3,Not specified,Not specified,Horison,,R 1 800 000,3 Bedroom House,,Not specified
Not specified,60,Not specified,2,Not specified,Not specified,Witpoortjie,,R 540 000,2 Bedroom Apartment,,Not specified
Not specified,60,Not specified,2,Not specified,Not specified,Witpoortjie,,R 540 000,2 Bedroom Apartment,,Not specified
Not specified,718,3,3,Not specified,Not specified,Florida Lake,,R 920 000,3 Bedroom House,,Not specified
Not specified,718,3,3,Not specified,Not specified,Florida Lake,,R 920 000,3 Bedroom House,,Not specified
Not specified,724,Not specified,4,Not specified,Not specified,Florida Hills,,R 2 400 000,4 Bedroom House,,Not specified
Not specified,724,Not specified,4,Not specified,Not specified,Florida Hills,,R 2 400 000,4 Bedroom House,,Not specified
Not specified,402,Not specified,4,Not specified,Not specified,Helderkruin,,R 3 750 000,4 Bedroom House,,Not specified
Not specified,402,Not specified,4,Not specified,Not specified,Helderkruin,,R 3 750 000,4 Bedroom House,,Not specified
Not specified,486,Not specified,3,Not specified,Not specified,Radiokop,,R 1 900 000,3 Bedroom House,,Not specified
Not specified,486,Not specified,3,Not specified,Not specified,Radiokop,,R 1 900 000,3 Bedroom House,,Not specified
Not specified,461,3,4,Not specified,Not specified,Poortview,,R 1 899 000,4 Bedroom Townhouse,,Not specified
Not specified,461,3,4,Not specified,Not specified,Poortview,,R 1 899 000,4 Bedroom Townhouse,,Not specified
Not specified,137,Not specified,3,Not specified,Not specified,Honeydew,,R 920 000,3 Bedroom Apartment,,Not specified
Not specified,137,Not specified,3,Not specified,Not specified,Honeydew,,R 920 000,3 Bedroom Apartment,,Not specified
Not specified,730,Not specified,3,Not specified,Not specified,Fleurhof,,R 700 000,3 Bedroom Townhouse,,Not specified
Not specified,730,Not specified,3,Not specified,Not specified,Fleurhof,,R 700 000,3 Bedroom Townhouse,,Not specified
Not specified,085,Not specified,3,Not specified,Not specified,Wilro Park,,R 1 620 000,3 Bedroom House,,Not specified
Not specified,085,Not specified,3,Not specified,Not specified,Wilro Park,,R 1 620 000,3 Bedroom House,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Horison,,R 699 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Horison,,R 699 000,2 Bedroom Apartment,,Not specified
Not specified,133,Not specified,3,Not specified,Not specified,Ruimsig Country Estate,,R 1 910 000,3 Bedroom Apartment,,Not specified
Not specified,133,Not specified,3,Not specified,Not specified,Ruimsig Country Estate,,R 1 910 000,3 Bedroom Apartment,,Not specified
Not specified,733,Not specified,2,Not specified,Not specified,Radiokop,,R 864 900,2 Bedroom Townhouse,,Not specified
Not specified,733,Not specified,2,Not specified,Not specified,Radiokop,,R 864 900,2 Bedroom Townhouse,,Not specified
Not specified,87,Not specified,2,Not specified,Not specified,Weltevreden Park,,R 975 000,2 Bedroom Townhouse,,Not specified
Not specified,87,Not specified,2,Not specified,Not specified,Weltevreden Park,,R 975 000,2 Bedroom Townhouse,,Not specified
Not specified,40,Not specified,Not specified,Not specified,Not specified,Not specified,,From R 849 000 To R 1 225 000,Willow Falls Apartments    Development in Wilgeheuwel,,Not specified
Not specified,132,Not specified,3,3 Bedroom Townhouse in Wilgeheuwel,Not specified,Wilgeheuwel,,R 1 350 000,Not specified,,Not specified
Not specified,132,Not specified,3,3 Bedroom Townhouse in Wilgeheuwel,Not specified,Wilgeheuwel,,R 1 350 000,Not specified,,Not specified
Not specified,72,Not specified,2,Not specified,Not specified,Radiokop,,R 635 000,2 Bedroom Apartment,,Not specified
Not specified,72,Not specified,2,Not specified,Not specified,Radiokop,,R 635 000,2 Bedroom Apartment,,Not specified
Not specified,79,Not specified,3,Not specified,Not specified,Radiokop,,R 765 000,3 Bedroom Apartment,,Not specified
Not specified,79,Not specified,3,Not specified,Not specified,Radiokop,,R 765 000,3 Bedroom Apartment,,Not specified
Not specified,61,Not specified,2,Not specified,Not specified,Radiokop,,R 675 000,2 Bedroom Apartment,,Not specified
Not specified,61,Not specified,2,Not specified,Not specified,Radiokop,,R 675 000,2 Bedroom Apartment,,Not specified
Not specified,79,Not specified,2,Not specified,Not specified,Honeydew Ridge,,R 845 000,2 Bedroom Townhouse,,Not specified
Not specified,79,Not specified,2,Not specified,Not specified,Honeydew Ridge,,R 845 000,2 Bedroom Townhouse,,Not specified
Not specified,814,2,4,Not specified,Not specified,Helderkruin,,R 2 400 000,4 Bedroom House,,Not specified
Not specified,814,2,4,Not specified,Not specified,Helderkruin,,R 2 400 000,4 Bedroom House,,Not specified
Not specified,793,Not specified,3,Not specified,Not specified,Witpoortjie,,R 1 500 000,3 Bedroom House,,Not specified
Not specified,793,Not specified,3,Not specified,Not specified,Witpoortjie,,R 1 500 000,3 Bedroom House,,Not specified
Not specified,400,Not specified,3,Not specified,Not specified,Roodekrans,,R 3 200 000,3 Bedroom House,,Not specified
Not specified,400,Not specified,3,Not specified,Not specified,Roodekrans,,R 3 200 000,3 Bedroom House,,Not specified
Not specified,535,Not specified,5,Not specified,Not specified,Radiokop,,R 2 395 000,5 Bedroom House,,Not specified
Not specified,535,Not specified,5,Not specified,Not specified,Radiokop,,R 2 395 000,5 Bedroom House,,Not specified
Not specified,277,Not specified,3,Not specified,Not specified,Honeydew,,R 1 600 125,3 Bedroom House,,Not specified
Not specified,277,Not specified,3,Not specified,Not specified,Honeydew,,R 1 600 125,3 Bedroom House,,Not specified
Not specified,932,Not specified,2,Not specified,Not specified,Weltevreden Park,,R 599 000,2 Bedroom Townhouse,,Not specified
Not specified,932,Not specified,2,Not specified,Not specified,Weltevreden Park,,R 599 000,2 Bedroom Townhouse,,Not specified
Not specified,56,Not specified,2,Not specified,Not specified,Florida,,R 549 999,2 Bedroom Apartment,,Not specified
Not specified,56,Not specified,2,Not specified,Not specified,Florida,,R 549 999,2 Bedroom Apartment,,Not specified
Not specified,503,Not specified,3,Not specified,Not specified,Honeydew Ridge,,R 2 495 000,3 Bedroom House,,Not specified
Not specified,503,Not specified,3,Not specified,Not specified,Honeydew Ridge,,R 2 495 000,3 Bedroom House,,Not specified
Not specified,60,Not specified,2,Not specified,Not specified,Radiokop,,R 625 000,2 Bedroom Apartment,,Not specified
Not specified,60,Not specified,2,Not specified,Not specified,Radiokop,,R 625 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,3,Not specified,Not specified,Honeydew,,R 1 780 000,3 Bedroom House,,Not specified
Not specified,Not specified,Not specified,3,Not specified,Not specified,Honeydew,,R 1 780 000,3 Bedroom House,,Not specified
Not specified,359,Not specified,2,Not specified,Not specified,Roodepoort West,,R 600 000,2 Bedroom Townhouse,,Not specified
Not specified,359,Not specified,2,Not specified,Not specified,Roodepoort West,,R 600 000,2 Bedroom Townhouse,,Not specified
Not specified,400,Not specified,Not specified,Not specified,Not specified,Robertville,,R 9 600 000,Industrial Property,,Not specified
Not specified,400,Not specified,Not specified,Not specified,Not specified,Robertville,,R 9 600 000,Industrial Property,,Not specified
Not specified,075,Not specified,5,Not specified,Not specified,Weltevreden Park,,R 1 950 000,5 Bedroom House,,Not specified
Not specified,075,Not specified,5,Not specified,Not specified,Weltevreden Park,,R 1 950 000,5 Bedroom House,,Not specified
Not specified,184,Not specified,Not specified,Not specified,Not specified,Laser Park,,R 1 468 320,Commercial Property,,Not specified
Not specified,184,Not specified,Not specified,Not specified,Not specified,Laser Park,,R 1 468 320,Commercial Property,,Not specified
Not specified,205,Not specified,Not specified,Not specified,Not specified,Laser Park,,R 1 635 900,Commercial Property,,Not specified
Not specified,205,Not specified,Not specified,Not specified,Not specified,Laser Park,,R 1 635 900,Commercial Property,,Not specified
Not specified,172,Not specified,Not specified,Not specified,Not specified,Laser Park,,R 1 372 560,Commercial Property,,Not specified
Not specified,172,Not specified,Not specified,Not specified,Not specified,Laser Park,,R 1 372 560,Commercial Property,,Not specified
Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,,From R 3 606 312 To R 5 083 258,El-Sela    Development in Ruimsig Country Estate,,Not specified
Not specified,41,Not specified,2,2 Bedroom Apartment in Fleurhof,Not specified,Fleurhof,,R 674 900,Not specified,,Not specified
Not specified,41,Not specified,2,2 Bedroom Apartment in Fleurhof,Not specified,Fleurhof,,R 674 900,Not specified,,Not specified
Not specified,034,Not specified,4,Not specified,Not specified,Wilro Park,,R 1 600 000,4 Bedroom House,,Not specified
Not specified,034,Not specified,4,Not specified,Not specified,Wilro Park,,R 1 600 000,4 Bedroom House,,Not specified
Not specified,184,Not specified,Not specified,Not specified,Not specified,Ruimsig,,R 2 100 000,Commercial Property,,Not specified
Not specified,184,Not specified,Not specified,Not specified,Not specified,Ruimsig,,R 2 100 000,Commercial Property,,Not specified
Not specified,099,Not specified,4,Not specified,Not specified,Helderkruin,,R 1 850 000,4 Bedroom House,,Not specified
Not specified,099,Not specified,4,Not specified,Not specified,Helderkruin,,R 1 850 000,4 Bedroom House,,Not specified
Not specified,517,Not specified,3,Not specified,Not specified,Florida,,R 1 800 000,3 Bedroom House,,Not specified
Not specified,517,Not specified,3,Not specified,Not specified,Florida,,R 1 800 000,3 Bedroom House,,Not specified
Not specified,61,Not specified,2,Not specified,Not specified,Wilgeheuwel,,R 820 000,2 Bedroom Townhouse,,Not specified
Not specified,61,Not specified,2,Not specified,Not specified,Wilgeheuwel,,R 820 000,2 Bedroom Townhouse,,Not specified
Not specified,000,Not specified,3,Not specified,Not specified,Roodekrans,,R 1 999 000,3 Bedroom House,,Not specified
Not specified,000,Not specified,3,Not specified,Not specified,Roodekrans,,R 1 999 000,3 Bedroom House,,Not specified
Not specified,359,Not specified,2,Not specified,Not specified,Roodepoort West,,R 600 000,2 Bedroom Townhouse,,Not specified
